,Age,YrsOfExp,Level,AISelect,AIComplex,AIAcc,AISent
0,25-34,8.0,Senior Developer,Monthly,Bad,Neither trust nor distrust,Indifferent
1,25-34,2.0,Junior Developer,Weekly,Bad,Neither trust nor distrust,Indifferent
2,35-44,10.0,Senior Developer,Daily,Neither good or bad,Somewhat trust,Favorable
3,35-44,4.0,Mid-Level Developer,Weekly,Bad,Somewhat trust,Favorable
4,35-44,21.0,Distinguished Engineer/Fellow,Weekly,"Good, but not great",Neither trust nor distrust,Favorable
5,45-54,15.0,Staff/Lead Developer,Daily,"Good, but not great",Somewhat distrust,Indifferent
6,25-34,9.0,Senior Developer,Daily,Neither good or bad,Somewhat trust,Favorable
7,35-44,22.0,Distinguished Engineer/Fellow,Daily,Neither good or bad,Somewhat trust,Very favorable
8,25-34,9.0,Senior Developer,Monthly,Neither good or bad,Neither trust nor distrust,Indifferent
9,25-34,7.0,Senior Developer,I don't plan to use AI,Very poor,Highly distrust,Unfavorable
10,25-34,7.0,Senior Developer,Daily,Very poor,Somewhat distrust,Very favorable
11,18-24,3.0,Junior Developer,Daily,Bad,Neither trust nor distrust,Very favorable
12,35-44,10.0,Senior Developer,Monthly,Bad,Somewhat distrust,Unfavorable
13,35-44,15.0,Staff/Lead Developer,Daily,"Good, but not great",Somewhat trust,Favorable
14,18-24,5.0,Mid-Level Developer,Daily,"Good, but not great",Highly trust,Favorable
15,>=65,20.0,Principal,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
16,25-34,1.0,Junior Developer,Daily,"Good, but not great",Neither trust nor distrust,Unfavorable
17,35-44,20.0,Principal,I don't plan to use AI,Very poor,Highly distrust,Very unfavorable
18,25-34,3.0,Junior Developer,Daily,Very well,Neither trust nor distrust,Very favorable
19,55-64,40.0,Veteran/Executive,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Unfavorable
20,45-54,35.0,Veteran/Executive,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
21,25-34,7.0,Senior Developer,Monthly,Bad,Somewhat distrust,Unfavorable
22,18-24,2.0,Junior Developer,I don't plan to use AI,Very poor,Somewhat distrust,Very unfavorable
23,>=65,40.0,Veteran/Executive,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
24,55-64,37.0,Veteran/Executive,Daily,"Good, but not great",Neither trust nor distrust,Favorable
25,45-54,26.0,Distinguished Engineer/Fellow,Daily,"Good, but not great",Somewhat trust,Favorable
